timestamp,datetime,Door Count 1,Door Count 1+,Door Count 1-,Door Count 1*,Door Count 2,Door Count 2+,Door Count 2-,Door Count 2*
1679946300,2023-03-27 20:45:00,-2,2,4,48537,-8,8,16,-115669
1679947200,2023-03-27 21:00:00,0,0,0,48537,-4,6,10,-115673
1679948100,2023-03-27 21:15:00,0,0,0,48537,0,0,0,-115673
1679949000,2023-03-27 21:30:00,0,0,0,48537,1,5,4,-115672
1679949900,2023-03-27 21:45:00,0,0,0,48537,0,0,0,-115672
1679950800,2023-03-27 22:00:00,0,0,0,48537,0,0,0,-115672
1679951700,2023-03-27 22:15:00,0,0,0,48537,0,0,0,-115672
1679952600,2023-03-27 22:30:00,0,0,0,48537,0,0,0,-115672
1679953500,2023-03-27 22:45:00,0,0,0,48537,0,0,0,-115672
1679954400,2023-03-27 23:00:00,0,0,0,48537,0,0,0,-115672
1679955300,2023-03-27 23:15:00,0,0,0,48537,0,0,0,-115672
1679956200,2023-03-27 23:30:00,0,0,0,48537,0,0,0,-115672
1679957100,2023-03-27 23:45:00,0,0,0,48537,0,0,0,-115672
